method,scene,PSNR,SSIM,SAM,ERGAS,RMSE,UIQI,SCC,time_s
Bicubic,lat-5.5_lon-37.5_20240629_T24MXV_t211,29.530843,0.796657,3.106582,3.242445,0.033378,0.317269,0.843376,0.02
Bicubic,lat-5.5_lon-37.5_20240629_T24MXV_t212,28.713984,0.762431,3.644110,4.359115,0.036669,0.294495,0.761596,0.02
Bicubic,lat-5.5_lon-37.5_20240629_T24MXV_t218,30.967610,0.768471,2.302700,2.627848,0.028289,0.301665,0.819976,0.02
Bicubic,lat-5.5_lon-37.5_20240629_T24MXV_t226,28.000895,0.775742,3.038577,4.063244,0.039807,0.357696,0.788913,0.02
Bicubic,lat-5.5_lon-37.5_20240629_T24MXV_t295,29.259914,0.738131,2.807754,2.713310,0.034435,0.320828,0.827744,0.02
Bicubic,lat-50.0_lon-71.0_20240120_T19FCE_t105,31.899969,0.768190,0.968862,1.006699,0.025410,0.301021,0.810718,0.02
Bicubic,lat-50.0_lon-71.0_20240120_T19FCE_t251,33.796720,0.825875,0.575316,0.754108,0.020425,0.381810,0.864008,0.02
Bicubic,lat13.0_lon14.0_20231029_T33PUQ_t033,21.057869,0.571418,5.148735,4.202825,0.088533,0.454516,0.815257,0.02
Bicubic,lat13.0_lon14.0_20231029_T33PUQ_t052,23.430961,0.579142,4.880480,3.596153,0.067368,0.408617,0.836573,0.01
Bicubic,lat13.0_lon14.0_20231029_T33PUQ_t053,21.551439,0.515537,6.213694,4.581572,0.083643,0.376610,0.813944,0.02
Bicubic,lat13.0_lon14.0_20231029_T33PUQ_t054,22.841026,0.510810,4.354680,4.071940,0.072102,0.251926,0.728578,0.01
Bicubic,lat13.0_lon14.0_20231029_T33PUQ_t058,26.664465,0.651576,3.324018,2.075064,0.046428,0.239656,0.805747,0.02
Bicubic,lat13.0_lon14.0_20231029_T33PUQ_t066,24.315728,0.571975,4.116048,3.306130,0.060843,0.299698,0.761603,0.01
Bicubic,lat13.0_lon14.0_20231029_T33PUQ_t070,30.306378,0.733652,2.251038,1.563285,0.030527,0.305850,0.810643,0.01
Bicubic,lat13.0_lon14.0_20231029_T33PUQ_t086,26.878682,0.611591,2.233964,1.828544,0.045297,0.352449,0.888708,0.02
Bicubic,lat13.0_lon14.0_20231029_T33PUQ_t089,25.085111,0.552404,2.946074,2.874580,0.055686,0.226373,0.746849,0.01
Bicubic,lat13.0_lon14.0_20231029_T33PUQ_t091,23.937191,0.581802,3.734924,2.969271,0.063554,0.333887,0.781452,0.02
Bicubic,lat13.0_lon14.0_20231029_T33PUQ_t114,32.313269,0.773442,4.513905,2.653005,0.024229,0.322097,0.851192,0.02
Bicubic,lat13.0_lon14.0_20231029_T33PUQ_t126,28.748190,0.658681,5.908471,4.101467,0.036525,0.274835,0.755433,0.02
Bicubic,lat13.5_lon40.7_20250330_T37PFQ_t029,31.404125,0.809476,1.031423,1.558622,0.026903,0.405560,0.871148,0.02
Bicubic,lat13.5_lon40.7_20250330_T37PFQ_t033,29.998962,0.652702,1.539439,1.013952,0.031627,0.264312,0.810889,0.02
Bicubic,lat13.5_lon40.7_20250330_T37PFQ_t072,29.007157,0.608640,0.651560,1.002231,0.035452,0.241122,0.790734,0.02
Bicubic,lat13.5_lon40.7_20250330_T37PFQ_t102,29.727289,0.654795,1.476099,1.333669,0.032631,0.288666,0.809370,0.02
Bicubic,lat13.5_lon40.7_20250330_T37PFQ_t103,30.732597,0.716127,1.315376,1.084670,0.029065,0.285620,0.795506,0.02
Bicubic,lat13.5_lon40.7_20250330_T37PFQ_t132,25.771164,0.604494,2.060549,1.998293,0.051457,0.370967,0.897395,0.01
Bicubic,lat13.5_lon40.7_20250330_T37PFQ_t134,28.914685,0.668201,1.511846,1.175362,0.035832,0.320820,0.876925,0.02
Bicubic,lat13.5_lon40.7_20250330_T37PFQ_t135,28.453656,0.649875,1.283006,1.712182,0.037785,0.323302,0.777099,0.01
Bicubic,lat13.5_lon40.7_20250330_T37PFQ_t212,30.585702,0.731599,0.893243,0.971268,0.029561,0.347731,0.891431,0.01
Bicubic,lat14.5_lon33.5_20251024_T36PWB_t069,27.533577,0.576868,4.264777,2.137641,0.042007,0.220317,0.621948,0.02
Bicubic,lat14.5_lon33.5_20251024_T36PWB_t085,27.806130,0.577525,4.153656,2.102307,0.040709,0.184456,0.595576,0.02
Bicubic,lat14.5_lon33.5_20251024_T36PWB_t097,26.273380,0.580848,5.118051,2.756512,0.048566,0.283224,0.747487,0.02
Bicubic,lat17.0_lon95.5_20251224_T46QGD_t163,24.977876,0.583528,6.438162,3.063945,0.056378,0.293437,0.832342,0.02
Bicubic,lat17.0_lon95.5_20251224_T46QGD_t200,24.338981,0.560818,6.782037,4.424888,0.060681,0.328704,0.822128,0.02
Bicubic,lat17.0_lon95.5_20251224_T46QGD_t278,24.852198,0.619602,6.411413,4.678536,0.057199,0.269761,0.657916,0.01
Bicubic,lat18.0_lon33.0_20231202_T36QWF_t104,30.899126,0.780162,0.794049,0.784747,0.028513,0.315560,0.830209,0.01
Bicubic,lat18.0_lon33.0_20231202_T36QWF_t106,30.456737,0.792006,0.639392,0.773956,0.030003,0.401686,0.881678,0.01
Bicubic,lat19.4_lon-99.1_20260221_T14QMG_t039,30.268772,0.652770,2.053537,2.196359,0.030659,0.134668,0.599685,0.01
Bicubic,lat19.4_lon-99.1_20260221_T14QMG_t045,34.521381,0.788074,2.435992,3.077240,0.018790,0.145321,0.552752,0.01
Bicubic,lat19.4_lon-99.1_20260221_T14QMG_t071,32.315545,0.736247,3.030504,1.967912,0.024223,0.225711,0.787419,0.01
Bicubic,lat21.0_lon17.5_20231203_T33QYD_t072,27.498055,0.651943,1.688599,1.741915,0.042179,0.281680,0.914119,0.01
Bicubic,lat21.0_lon17.5_20231203_T33QYD_t169,25.480318,0.535758,2.284035,2.459546,0.053209,0.264596,0.790932,0.02
Bicubic,lat22.5_lon78.0_20250129_T43QHE_t056,29.733605,0.681432,2.662648,1.994104,0.032608,0.265846,0.823168,0.02
Bicubic,lat22.5_lon78.0_20250129_T43QHE_t057,35.345010,0.836735,2.362669,1.828347,0.017090,0.291737,0.812535,0.02
Bicubic,lat22.5_lon78.0_20250129_T43QHE_t082,28.671264,0.643762,3.482145,2.403841,0.036850,0.300125,0.808497,0.01
Bicubic,lat22.5_lon78.0_20250129_T43QHE_t118,25.568839,0.489258,6.012777,3.327009,0.052669,0.204912,0.682773,0.02
Bicubic,lat23.0_lon88.0_20231227_T45QXF_t036,23.676433,0.599437,6.833021,4.171032,0.065491,0.348593,0.770800,0.02
Bicubic,lat23.0_lon88.0_20231227_T45QXF_t046,24.434692,0.568682,6.128429,3.840456,0.060016,0.301853,0.765320,0.01
Bicubic,lat23.0_lon88.0_20231227_T45QXF_t068,26.011006,0.613370,5.375367,3.125142,0.050055,0.305387,0.816361,0.02
Bicubic,lat23.0_lon88.0_20231227_T45QXF_t075,26.552997,0.570685,4.470267,2.535684,0.047027,0.238086,0.673803,0.02
Bicubic,lat23.0_lon88.0_20231227_T45QXF_t101,29.300451,0.649933,3.979996,2.292052,0.034275,0.299446,0.714973,0.01
Bicubic,lat23.0_lon88.0_20231227_T45QXF_t110,28.002754,0.619202,3.782631,2.195130,0.039798,0.282005,0.760054,0.02
Bicubic,lat23.5_lon58.5_20231226_T40QFL_t021,30.664080,0.692803,3.160558,2.964498,0.029295,0.289458,0.741808,0.02
Bicubic,lat23.5_lon58.5_20231226_T40QFL_t129,27.015810,0.594785,2.161202,2.918811,0.044587,0.329063,0.793114,0.02
Bicubic,lat23.5_lon58.5_20231226_T40QFL_t173,28.790993,0.601634,1.884518,2.186526,0.036345,0.259303,0.698593,0.01
Bicubic,lat23.5_lon58.5_20231226_T40QFL_t182,27.352807,0.542231,1.902728,2.907287,0.042890,0.231654,0.769648,0.01
Bicubic,lat23.5_lon69.5_20231003_T42QWL_t009,26.658988,0.539350,3.452899,1.965809,0.046457,0.224568,0.662688,0.02
Bicubic,lat23.5_lon69.5_20231003_T42QWL_t019,25.488557,0.488354,3.991390,2.616161,0.053158,0.220382,0.684278,0.01
Bicubic,lat26.0_lon-99.5_20230627_T14RMP_t013,31.524497,0.710047,2.037316,1.595878,0.026532,0.183188,0.677367,0.02
Bicubic,lat26.0_lon-99.5_20230627_T14RMP_t028,31.601949,0.708157,3.170610,2.681226,0.026297,0.267328,0.740462,0.01
Bicubic,lat26.5_lon71.0_20250131_T42RYQ_t013,30.657266,0.740080,1.418502,0.828481,0.029318,0.305777,0.739418,0.01
Bicubic,lat26.5_lon71.0_20250131_T42RYQ_t025,31.880016,0.746134,2.362893,1.366770,0.025468,0.206804,0.665757,0.02
Bicubic,lat26.5_lon71.0_20250131_T42RYQ_t050,24.880256,0.587382,5.090405,2.538875,0.057015,0.250101,0.777490,0.02
Bicubic,lat26.5_lon71.0_20250131_T42RYQ_t056,28.341047,0.599627,1.902612,1.249301,0.038278,0.195978,0.682634,0.02
Bicubic,lat26.5_lon71.0_20250131_T42RYQ_t059,25.495073,0.566781,3.638745,1.922053,0.053119,0.218534,0.694270,0.02
Bicubic,lat26.5_lon71.0_20250131_T42RYQ_t067,27.560019,0.580641,1.972925,1.263216,0.041879,0.188702,0.697640,0.01
Bicubic,lat26.5_lon71.0_20250131_T42RYQ_t089,28.271568,0.626994,1.867510,1.233713,0.038585,0.256594,0.751976,0.01
Bicubic,lat26.5_lon71.0_20250131_T42RYQ_t100,29.179053,0.644784,1.641862,1.038414,0.034757,0.228469,0.656691,0.02
Bicubic,lat26.5_lon71.0_20250131_T42RYQ_t135,30.353525,0.685537,2.093342,1.229420,0.030362,0.217918,0.653115,0.02
Bicubic,lat26.5_lon71.0_20250131_T42RYQ_t158,26.407423,0.533245,2.600519,1.467624,0.047822,0.185093,0.620082,0.02
Bicubic,lat26.5_lon71.0_20250131_T42RYQ_t178,31.301496,0.711360,1.528417,0.867806,0.027222,0.228893,0.659587,0.02
Bicubic,lat27.0_lon13.5_20241001_T33RUL_t077,30.224899,0.673640,0.486736,0.833221,0.030814,0.239692,0.803506,0.02
Bicubic,lat27.0_lon13.5_20241001_T33RUL_t199,34.243005,0.869780,0.567355,0.628742,0.019402,0.432654,0.934330,0.01
Bicubic,lat27.5_lon112.0_20241201_T49RFL_t084,35.224152,0.814855,4.061853,3.788743,0.017330,0.165130,0.611501,0.02
Bicubic,lat28.6_lon77.2_20250531_T43RGM_t159,31.869510,0.739015,3.139313,1.916163,0.025499,0.221873,0.715571,0.02
Bicubic,lat29.5_lon34.0_20250731_T36RXT_t063,23.470926,0.487543,1.466029,2.121607,0.067058,0.374816,0.785329,0.02
Bicubic,lat29.5_lon34.0_20250731_T36RXT_t121,29.276340,0.584267,0.964292,1.067992,0.034370,0.209165,0.667122,0.02
Bicubic,lat29.5_lon34.0_20250731_T36RXT_t125,27.613843,0.506213,1.254188,1.287707,0.041621,0.218269,0.650769,0.01
Bicubic,lat29.5_lon34.0_20250731_T36RXT_t139,26.823450,0.505904,1.238572,1.513386,0.045586,0.230775,0.741506,0.01
Bicubic,lat29.5_lon34.0_20250731_T36RXT_t210,26.857539,0.483466,1.319639,1.521128,0.045407,0.189254,0.598078,0.01
Bicubic,lat30.05_lon2.88_20231203_T31RDP_t085,38.874708,0.930403,0.269702,0.322989,0.011383,0.359628,0.887850,0.02
Bicubic,lat30.05_lon2.88_20231203_T31RDP_t086,36.261778,0.896597,0.366527,0.480305,0.015378,0.425100,0.851513,0.02
Bicubic,lat30.05_lon2.88_20231203_T31RDP_t127,35.367030,0.845209,0.497882,0.474142,0.017047,0.344821,0.800571,0.01
Bicubic,lat30.05_lon2.88_20231203_T31RDP_t174,39.477966,0.916094,0.371942,0.266128,0.010619,0.279885,0.894907,0.02
Bicubic,lat30.05_lon2.88_20231203_T31RDP_t186,30.947126,0.821126,0.511288,0.764117,0.028356,0.317781,0.700714,0.02
Bicubic,lat30.05_lon2.88_20231203_T31RDP_t221,33.409729,0.799574,0.739592,0.622553,0.021356,0.320264,0.774341,0.02
Bicubic,lat30.05_lon31.25_20230626_T36RUU_t078,27.455591,0.588905,4.630896,3.375419,0.042386,0.270231,0.776873,0.02
Bicubic,lat30.05_lon31.25_20230626_T36RUU_t081,26.070805,0.538976,4.738261,4.078334,0.049712,0.272745,0.699846,0.02
Bicubic,lat30.05_lon31.25_20230626_T36RUU_t094,25.530415,0.543637,5.002896,3.630300,0.052903,0.283101,0.718192,0.01
Bicubic,lat30.05_lon31.25_20230626_T36RUU_t101,25.221525,0.520748,5.011951,3.726820,0.054818,0.298708,0.816853,0.02
Bicubic,lat30.05_lon31.25_20230626_T36RUU_t113,27.075052,0.541665,4.543299,3.230437,0.044284,0.231079,0.817806,0.01
Bicubic,lat30.05_lon31.25_20230626_T36RUU_t151,25.996290,0.561818,4.271314,3.247675,0.050140,0.324290,0.801345,0.02
Bicubic,lat30.05_lon31.25_20230626_T36RUU_t207,29.992220,0.687681,0.836034,0.997251,0.031651,0.252278,0.720541,0.02
Bicubic,lat30.05_lon31.25_20230626_T36RUU_t209,25.677823,0.497772,2.305780,1.934294,0.052013,0.205428,0.649885,0.02
Bicubic,lat30.05_lon31.25_20230626_T36RUU_t239,27.319052,0.639815,2.356711,2.325483,0.043057,0.311684,0.821085,0.02
Bicubic,lat30.05_lon31.25_20230626_T36RUU_t242,27.692099,0.537009,2.562839,1.769215,0.041247,0.151315,0.619848,0.01
Bicubic,lat30.0_lon-9.5_20230804_T29RMP_t024,37.308326,0.911507,0.572189,0.554711,0.013633,0.273315,0.802657,0.02
Bicubic,lat30.0_lon-9.5_20230804_T29RMP_t052,29.970201,0.724362,1.756733,1.270006,0.031731,0.273484,0.736444,0.02
Bicubic,lat30.0_lon-9.5_20230804_T29RMP_t083,30.178976,0.701545,0.815410,0.990425,0.030978,0.333353,0.846263,0.02
Bicubic,lat30.5_lon74.5_20231203_T43RDP_t019,23.974854,0.441674,5.750794,3.685529,0.063279,0.212498,0.708281,0.01
Bicubic,lat30.5_lon74.5_20231203_T43RDP_t026,29.172691,0.604459,3.863000,1.946545,0.034783,0.185565,0.591008,0.02
Bicubic,lat30.5_lon74.5_20231203_T43RDP_t043,29.036273,0.605806,3.722620,1.984140,0.035333,0.201271,0.664254,0.02
Bicubic,lat30.5_lon74.5_20231203_T43RDP_t078,29.412995,0.623897,3.621528,1.979990,0.033834,0.216363,0.667431,0.02
Bicubic,lat30.87_lon31.32_20250623_T36RUV_t139,25.371647,0.484895,6.106116,5.007864,0.053879,0.203716,0.666258,0.02
Bicubic,lat31.0_lon47.0_20240403_T38RPV_t141,34.218617,0.896754,1.576928,2.006899,0.019457,0.440983,0.962789,0.01
Bicubic,lat31.0_lon47.0_20240403_T38RPV_t161,27.198223,0.683453,2.695298,2.179830,0.043661,0.449185,0.870152,0.02
Bicubic,lat31.0_lon47.0_20240403_T38RPV_t166,24.917171,0.500363,1.938329,2.010323,0.056773,0.284401,0.805995,0.02
Bicubic,lat31.5_lon-100.0_20241001_T14RMV_t024,24.341051,0.512756,3.345384,3.032979,0.060666,0.282218,0.750230,0.01
Bicubic,lat31.5_lon-100.0_20241001_T14RMV_t041,29.557696,0.608134,2.239171,1.991282,0.033275,0.192290,0.749153,0.02
